book|id=1 ;title=The Great Gatsby ;year=1925 ;genre=Fiction ;description=A book about the American dream. ;image_path= ;type=Book ;author=F. Scott Fitzgerald ;pages=180
movie|id=28 ;title=Parasite ;year=2019 ;genre=Thriller ;description=A poor family infiltrates a wealthy household with unexpected results. ;image_path= ;type=Movie ;director=Bong Joon-ho ;duration=132
game|id=29 ;title=Cyberpunk 2077 ;year=2020 ;genre=RPG ;description=A futuristic open-world game set in the neon city of Night City. ;image_path= ;type=Game ;platform=CD Projekt Red ;developer=Multiple Platforms
book|id=30 ;title=Crime and Punishment ;year=1866 ;genre=Psychological Fiction ;description=A man's moral struggles after committing a murder. ;image_path= ;type=Book ;author=Fyodor Dostoevsky ;pages=671
movie|id=31 ;title=The Lion King ;year=1994 ;genre=Animation ;description=A young lion prince learns about responsibility and destiny. ;image_path= ;type=Movie ;director=Roger Allers & Rob Minkoff ;duration=88
game|id=32 ;title=Dark Souls III ;year=2016 ;genre=Action RPG ;description=The final chapter in the challenging Dark Souls series. ;image_path= ;type=Game ;platform=FromSoftware ;developer=Multiple Platforms
book|id=33 ;title=Frankenstein ;year=1818 ;genre=Gothic Fiction ;description=A scientist creates life and faces the consequences. ;image_path= ;type=Book ;author=Mary Shelley ;pages=280
movie|id=34 ;title=Titanic ;year=1997 ;genre=Romance ;description=A love story unfolds aboard the doomed ocean liner. ;image_path= ;type=Movie ;director=James Cameron ;duration=195
game|id=35 ;title=Portal 2 ;year=2011 ;genre=Puzzle ;description=A mind-bending puzzle game involving portals and witty AI. ;image_path= ;type=Game ;platform=Valve ;developer=Multiple Platforms
movie|id=37 ;title=Avatar ;year=2009 ;genre=Sci-Fi ;description=Humans exploit a lush alien world called Pandora. ;image_path= ;type=Movie ;director=James Cameron ;duration=162
game|id=38 ;title=Stardew Valley ;year=2016 ;genre=Simulation ;description=Build your farm, grow crops, and connect with townsfolk. ;image_path= ;type=Game ;platform=ConcernedApe ;developer=Multiple Platforms
book|id=39 ;title=The Odyssey ;year=-800 ;genre=Epic ;description=Odysseus’ journey home after the Trojan War. ;image_path= ;type=Book ;author=Homer ;pages=541
movie|id=40 ;title=The Silence of the Lambs ;year=1991 ;genre=Thriller ;description=A young FBI trainee seeks help from a brilliant but psychotic killer. ;image_path= ;type=Movie ;director=Jonathan Demme ;duration=118
game|id=41 ;title=Overwatch ;year=2016 ;genre=Shooter ;description=A team-based multiplayer shooter set in a vibrant future. ;image_path= ;type=Game ;platform=Blizzard Entertainment ;developer=Multiple Platforms
book|id=42 ;title=The Kite Runner ;year=2003 ;genre=Drama ;description=A story of friendship, betrayal, and redemption in Afghanistan. ;image_path= ;type=Book ;author=Khaled Hosseini ;pages=372
movie|id=43 ;title=Joker ;year=2019 ;genre=Drama ;description=A failed comedian descends into madness in Gotham City. ;image_path= ;type=Movie ;director=Todd Phillips ;duration=122
game|id=44 ;title=Assassin’s Creed Odyssey ;year=2018 ;genre=Action RPG ;description=Explore ancient Greece as a mercenary during the Peloponnesian War. ;image_path= ;type=Game ;platform=Ubisoft ;developer=Multiple Platforms
book|id=45 ;title=The Da Vinci Code ;year=2003 ;genre=Thriller ;description=A symbologist uncovers secrets hidden in famous artworks. ;image_path= ;type=Book ;author=Dan Brown ;pages=489
movie|id=46 ;title=Fight Club ;year=1999 ;genre=Drama ;description=A man starts an underground fight club to escape his mundane life. ;image_path= ;type=Movie ;director=David Fincher ;duration=139
game|id=47 ;title=Mass Effect 2 ;year=2010 ;genre=RPG ;description=Commander Shepard assembles a team to save the galaxy. ;image_path= ;type=Game ;platform=BioWare ;developer=Multiple Platforms
book|id=48 ;title=Dracula ;year=1897 ;genre=Gothic Horror ;description=The iconic vampire tale of Count Dracula’s move to England. ;image_path= ;type=Book ;author=Bram Stoker ;pages=418
movie|id=49 ;title=The Prestige ;year=2006 ;genre=Mystery ;description=Two rival magicians compete in a dangerous rivalry. ;image_path= ;type=Movie ;director=Christopher Nolan ;duration=130
game|id=50 ;title=Hades ;year=2020 ;genre=Roguelike ;description=Battle your way out of the underworld in this fast-paced action game. ;image_path= ;type=Game ;platform=Supergiant Games ;developer=Multiple Platforms
book|id=51 ;title=The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;year=1950 ;genre=Fantasy ;description=Four siblings enter a magical world ruled by an evil witch. ;image_path= ;type=Book ;author=C.S. Lewis ;pages=208
movie|id=52 ;title=The Social Network ;year=2010 ;genre=Drama ;description=The rise of Facebook and its founder’s legal battles. ;image_path= ;type=Movie ;director=David Fincher ;duration=120
game|id=53 ;title=Bloodborne ;year=2015 ;genre=Action RPG ;description=Face your fears in a dark gothic city filled with horrors. ;image_path= ;type=Game ;platform=FromSoftware ;developer=PlayStation 4
book|id=54 ;title=The Shining ;year=1977 ;genre=Horror ;description=A writer and his family face terrifying forces in an isolated hotel. ;image_path= ;type=Book ;author=Stephen King ;pages=447
movie|id=55 ;title=Blade Runner 2049 ;year=2017 ;genre=Sci-Fi ;description=A new blade runner uncovers long-buried secrets about humanity. ;image_path= ;type=Movie ;director=Denis Villeneuve ;duration=164
game|id=56 ;title=Celeste ;year=2018 ;genre=Platformer ;description=A young woman climbs a mountain while battling her inner demons. ;image_path= ;type=Game ;platform=Matt Makes Games ;developer=Multiple Platforms
book|id=57 ;title=The Hunger Games ;year=2008 ;genre=Dystopian ;description=A girl must fight for survival in a televised death match. ;image_path= ;type=Book ;author=Suzanne Collins ;pages=374
movie|id=58 ;title=Whiplash ;year=2014 ;genre=Drama ;description=A young drummer strives for greatness under an abusive instructor. ;image_path= ;type=Movie ;director=Damien Chazelle ;duration=107
game|id=59 ;title=The Last of Us Part II ;year=2020 ;genre=Action-Adventure ;description=A gripping story of revenge and survival. ;image_path= ;type=Game ;platform=Naughty Dog ;developer=PlayStation 4
movie|id=61 ;title=The Green Mile ;year=1999 ;genre=Drama ;description=A prison guard witnesses miraculous events on death row. ;image_path= ;type=Movie ;director=Frank Darabont ;duration=189
game|id=62 ;title=Ghost of Tsushima ;year=2020 ;genre=Action-Adventure ;description=A samurai defends his homeland during the Mongol invasion. ;image_path= ;type=Game ;platform=Sucker Punch Productions ;developer=PlayStation 4
book|id=63 ;title=The Girl with the Dragon Tattoo ;year=2005 ;genre=Thriller ;description=A journalist and hacker uncover dark family secrets. ;image_path= ;type=Book ;author=Stieg Larsson ;pages=465
movie|id=64 ;title=Schindler’s List ;year=1993 ;genre=Historical Drama ;description=The story of a man who saved Jews during the Holocaust. ;image_path= ;type=Movie ;director=Steven Spielberg ;duration=195
game|id=65 ;title=Resident Evil 4 ;year=2005 ;genre=Horror ;description=An agent rescues the president’s daughter from a sinister cult. ;image_path= ;type=Game ;platform=Capcom ;developer=Multiple Platforms
book|id=66 ;title=The Name of the Wind ;year=2007 ;genre=Fantasy ;description=A gifted young man becomes the most legendary figure in the world. ;image_path= ;type=Book ;author=Patrick Rothfuss ;pages=662
movie|id=67 ;title=Good Will Hunting ;year=1997 ;genre=Drama ;description=A janitor at MIT has a gift for mathematics. ;image_path= ;type=Movie ;director=Gus Van Sant ;duration=126
game|id=68 ;title=Halo: Combat Evolved ;year=2001 ;genre=Shooter ;description=Master Chief battles the alien Covenant to save humanity. ;image_path= ;type=Game ;platform=Bungie ;developer=Multiple Platforms
